OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,BedroomAbvGr,GarageCars,GarageArea,LotArea,Neighborhood,HouseStyle,Exterior,GarageType,SaleCondition,SalePrice
4,1452,1935,293,2,5,1,454,13207,OldTown,SLvl,MetalSd,Attchd,Abnorml,244295
4,1034,1967,420,3,2,3,303,6750,Crawfor,1Story,VinylSd,None,Normal,273635
3,1251,1977,665,1,5,0,217,12842,Gilbert,1Story,HdBoard,Attchd,Normal,247897
4,961,2004,,3,1,1,237,8077,NAmes,SLvl,MetalSd,None,Normal,252109
7,2384,1940,562,2,2,2,155,9885,Somerst,SLvl,,None,Normal,430455
4,1516,1988,986,3,1,3,620,11788,Crawfor,SLvl,Plywood,None,Normal,290896
6,1185,2018,835,2,2,0,642,16661,Gilbert,SFoyer,HdBoard,Attchd,Normal,359127
6,1596,1961,1428,3,5,2,550,6730,Sawyer,SLvl,HdBoard,BuiltIn,Normal,400672
9,1449,2013,810,3,4,1,444,10606,BrkSide,SFoyer,MetalSd,Attchd,Normal,353203
6,1401,1909,85,1,3,1,821,22294,OldTown,1.5Fin,BrkFace,BuiltIn,Normal,241671
9,1776,1920,1050,3,1,1,432,8315,CollgCr,1Story,Wd Sdng,Detchd,Normal,373308
6,1841,1935,994,1,5,3,490,9832,Edwards,1Story,Plywood,Detchd,Normal,398344
7,1261,1911,655,1,4,0,441,22279,Sawyer,2Story,Wd Sdng,Attchd,Normal,254285
10,1241,1990,1038,1,5,2,389,11990,Sawyer,1.5Fin,HdBoard,BuiltIn,Normal,409319
9,1376,2003,570,1,1,0,564,4636,OldTown,SLvl,Wd Sdng,BuiltIn,Normal,387815
5,500,1901,1132,3,3,3,336,6292,Edwards,SLvl,VinylSd,BuiltIn,Normal,246054
8,818,2017,2053,2,5,0,324,12275,OldTown,1.5Fin,Plywood,Detchd,Normal,372516
3,2115,1912,278,2,2,3,573,10887,Crawfor,SLvl,Wd Sdng,Attchd,Normal,261052
6,2240,1952,794,2,4,1,360,9683,CollgCr,2Story,VinylSd,CarPort,Normal,398610
4,1388,1931,729,3,5,2,474,23802,Edwards,SFoyer,MetalSd,BuiltIn,Normal,252903
10,1759,1994,827,1,4,1,389,6817,Gilbert,1Story,Wd Sdng,BuiltIn,Abnorml,430008
6,1640,1915,1408,2,2,0,448,8704,Somerst,1.5Fin,Plywood,CarPort,Normal,341351
4,2885,1931,1217,3,3,1,329,3720,OldTown,1Story,VinylSd,Attchd,Normal,395328
8,2004,1931,,1,3,2,335,15173,CollgCr,SFoyer,Wd Sdng,BuiltIn,Normal,430789
8,1442,1997,1012,2,2,1,302,6282,BrkSide,1.5Fin,MetalSd,Attchd,Normal,354548
8,1070,1910,471,1,4,2,602,14482,NAmes,SFoyer,Wd Sdng,BuiltIn,Normal,313751
4,777,1909,554,2,5,2,481,13813,BrkSide,SLvl,VinylSd,None,Normal,216991
6,1592,1914,1299,2,2,1,615,25902,NAmes,SLvl,Wd Sdng,BuiltIn,Abnorml,289237
8,1160,1916,1068,2,1,3,635,12054,NridgHt,SLvl,Plywood,,Abnorml,349191
7,860,1939,1504,1,4,0,367,7667,Gilbert,SFoyer,HdBoard,Attchd,Normal,319459
9,1209,1917,1117,3,3,3,609,11038,NridgHt,SFoyer,VinylSd,,Normal,348310
4,1013,1954,527,1,2,3,447,6395,OldTown,SFoyer,VinylSd,Detchd,Normal,297400
4,2259,1972,791,2,3,1,421,10390,OldTown,1Story,VinylSd,Detchd,Normal,384546
6,1897,1924,1226,1,4,0,675,8222,NAmes,SFoyer,VinylSd,CarPort,Abnorml,304605
4,1496,2003,1284,3,3,0,550,8720,Edwards,SLvl,Wd Sdng,Detchd,Normal,343407
4,2166,1958,1342,1,2,3,387,6007,CollgCr,2Story,Plywood,None,Normal,367895
8,1535,1977,581,3,4,1,538,10303,Crawfor,SFoyer,MetalSd,Detchd,Normal,382358
6,1112,1988,520,3,1,0,222,13041,Sawyer,2Story,Plywood,Detchd,Normal,263217
8,2185,2013,924,1,2,3,495,4279,OldTown,SLvl,VinylSd,Detchd,Abnorml,493772
9,1743,1921,,2,5,0,180,6602,NridgHt,SFoyer,BrkFace,BuiltIn,Normal,428348
10,1033,2015,722,3,2,1,273,9707,NridgHt,1Story,Wd Sdng,CarPort,Normal,360000
9,1414,1929,1182,1,4,1,555,3130,BrkSide,1Story,BrkFace,Attchd,Normal,348888
10,1106,1983,1182,3,2,1,0,19695,Gilbert,2Story,Wd Sdng,CarPort,Partial,350959
8,878,1984,1304,2,1,0,774,6535,NAmes,1Story,VinylSd,None,Normal,340068
9,1917,1943,1666,1,1,2,600,5901,Sawyer,1Story,Wd Sdng,BuiltIn,Partial,479871
6,2359,1931,1625,1,5,0,119,8198,NAmes,1Story,VinylSd,BuiltIn,Normal,421334
3,871,1950,762,1,3,2,882,9574,OldTown,SLvl,Plywood,Detchd,Partial,215366
8,1753,1945,161,2,4,1,931,6403,Somerst,1Story,HdBoard,Detchd,Normal,320865
10,1207,2012,729,3,4,3,418,,Sawyer,1.5Fin,Wd Sdng,None,Normal,401167
7,1281,2019,1030,1,3,2,283,10774,BrkSide,SFoyer,VinylSd,BuiltIn,Normal,405207
10,1233,1920,855,3,1,1,754,6175,NridgHt,1Story,BrkFace,Attchd,Normal,367438
7,1111,1998,1787,3,1,1,388,7115,BrkSide,1Story,VinylSd,CarPort,Normal,366390
4,1522,1931,1008,2,2,2,479,4548,OldTown,1Story,BrkFace,BuiltIn,Partial,256532
9,1126,1993,1261,1,5,3,669,5120,Somerst,1.5Fin,Wd Sdng,Attchd,Normal,422615
7,1622,2018,1087,3,5,1,422,10715,Crawfor,1Story,MetalSd,Attchd,Normal,364176
10,1477,1938,861,1,5,2,407,6204,Sawyer,1Story,BrkFace,CarPort,Normal,456045
4,1392,2012,230,1,2,3,221,20270,NAmes,SFoyer,VinylSd,Attchd,Normal,316525
3,1092,1911,969,2,5,3,337,9292,Sawyer,1.5Fin,Wd Sdng,None,Partial,228215
6,1240,2004,2302,1,3,1,403,4896,NridgHt,1.5Fin,VinylSd,Attchd,Normal,364137
6,1840,1946,502,1,2,0,227,5380,NAmes,1Story,MetalSd,None,Abnorml,304781
6,1725,1917,274,3,3,0,243,14455,Crawfor,1.5Fin,HdBoard,Attchd,Abnorml,250535
7,1060,1920,1775,2,2,1,456,,Crawfor,2Story,MetalSd,Detchd,Normal,307615
3,1545,1912,1297,1,5,3,117,14064,Gilbert,1.5Fin,Plywood,Attchd,Normal,298208
7,1838,1920,1075,3,3,1,292,7632,NAmes,1.5Fin,Wd Sdng,None,Partial,382859
9,749,1907,1545,2,3,2,800,6994,CollgCr,1.5Fin,MetalSd,Attchd,Normal,364199
7,1745,1945,667,2,3,0,388,14894,Somerst,SLvl,HdBoard,Attchd,Normal,333909
3,1202,2003,957,3,2,2,365,6116,CollgCr,SLvl,VinylSd,Attchd,Normal,297052
3,1757,2009,1382,3,4,1,387,11216,Crawfor,SLvl,Wd Sdng,None,Normal,312619
9,1157,1906,1844,3,5,1,390,8182,NAmes,1.5Fin,BrkFace,Attchd,Normal,412429
3,688,1922,533,3,3,3,553,13365,Gilbert,2Story,MetalSd,CarPort,Normal,140673
10,768,2007,1512,3,4,3,541,20400,Sawyer,1.5Fin,HdBoard,CarPort,Normal,280986
3,1522,1995,1153,1,5,3,380,7544,Sawyer,1Story,MetalSd,None,Abnorml,315188
6,1617,1974,1065,1,5,2,412,7036,Sawyer,2Story,Plywood,Detchd,Normal,308183
10,1093,1985,997,2,3,3,686,12144,Gilbert,SLvl,Wd Sdng,CarPort,Normal,411684
10,1787,1921,446,1,3,1,178,5531,OldTown,SFoyer,VinylSd,BuiltIn,Normal,401312
9,752,2006,1385,1,2,3,440,18627,NAmes,2Story,HdBoard,CarPort,Normal,445934
5,1470,1988,687,1,4,0,474,17252,CollgCr,SLvl,MetalSd,BuiltIn,Normal,305295
5,955,1921,568,3,4,3,310,5741,Somerst,2Story,Wd Sdng,None,Normal,273560
3,1207,1991,1354,2,3,2,429,4414,Crawfor,2Story,MetalSd,Detchd,Normal,304960
10,1521,1928,1316,2,5,0,286,5339,Somerst,1.5Fin,Wd Sdng,BuiltIn,Normal,425032
5,1113,1912,1032,2,3,0,565,5375,Crawfor,1Story,Plywood,BuiltIn,Normal,241576
5,1327,1981,1432,2,5,0,209,12910,NAmes,SFoyer,MetalSd,CarPort,Family,342397
3,1953,1901,1570,1,5,2,641,18072,NAmes,SLvl,Plywood,BuiltIn,Normal,277834
5,1240,1928,1523,1,3,1,437,12843,BrkSide,2Story,BrkFace,None,Abnorml,311619
7,1876,1984,789,3,1,3,369,8093,CollgCr,SFoyer,BrkFace,None,Abnorml,350150
4,992,1978,1406,2,4,0,269,10500,NridgHt,2Story,HdBoard,None,Normal,263248
9,1738,1951,1085,1,5,0,636,6085,Crawfor,1Story,Plywood,CarPort,Normal,410830
4,2149,1926,1690,1,5,0,333,14746,Edwards,SFoyer,Wd Sdng,Detchd,Normal,398501
3,500,1949,951,3,1,1,240,10931,NridgHt,SLvl,HdBoard,CarPort,Abnorml,131261
6,1141,1994,857,3,2,1,639,12745,Sawyer,2Story,MetalSd,None,Normal,287039
9,1760,1978,754,3,1,2,287,6487,Somerst,1Story,MetalSd,CarPort,Normal,453684
3,1409,2014,1076,1,1,1,433,8342,NAmes,SFoyer,Wd Sdng,None,Normal,286571
10,1667,1922,1187,1,5,3,597,12472,Edwards,2Story,VinylSd,Attchd,Normal,459381
6,1228,1987,1194,3,4,2,478,17233,Crawfor,2Story,VinylSd,Attchd,Normal,303175
4,1539,1943,1140,2,1,2,762,6845,OldTown,SLvl,MetalSd,BuiltIn,Normal,282396
3,1430,1976,1268,3,2,3,300,12787,Crawfor,1Story,Wd Sdng,Detchd,Normal,341206
10,2026,1921,911,3,3,3,412,6533,Somerst,1.5Fin,VinylSd,Attchd,Normal,468282
9,1614,1942,651,3,1,3,426,23335,Crawfor,2Story,Plywood,None,Normal,426473
9,1652,1936,616,3,1,2,,7467,Crawfor,SFoyer,MetalSd,CarPort,Normal,397428
8,1315,1960,1390,1,2,2,682,12023,Gilbert,SLvl,BrkFace,CarPort,Normal,345867
10,1281,1996,,2,4,2,463,9696,CollgCr,SLvl,Plywood,BuiltIn,Normal,463338
7,1305,1955,258,3,1,3,425,29067,NridgHt,2Story,Wd Sdng,CarPort,Normal,353268
5,1678,1902,1439,2,1,3,183,9981,OldTown,2Story,BrkFace,Attchd,Family,428412
6,1311,1962,1752,2,4,0,470,7138,NAmes,2Story,Plywood,CarPort,Normal,296600
10,1630,2017,714,2,2,1,333,12001,Crawfor,1.5Fin,VinylSd,Attchd,Normal,462280
8,2434,1918,1134,3,1,0,561,11882,OldTown,2Story,VinylSd,Attchd,Normal,381836
5,1892,1922,811,1,4,3,376,8384,BrkSide,1Story,BrkFace,Detchd,Normal,352292
5,1353,1928,1251,3,1,2,407,5499,Crawfor,SFoyer,HdBoard,BuiltIn,Normal,345438
3,2041,1929,534,2,3,3,187,7097,Gilbert,2Story,MetalSd,None,Normal,233490
5,1316,1938,971,2,5,1,124,13382,Gilbert,1.5Fin,BrkFace,Attchd,Normal,282012
7,583,2007,1393,1,3,0,785,4100,Edwards,SFoyer,Wd Sdng,BuiltIn,Normal,278518
9,1046,2010,1494,3,1,0,473,8049,Sawyer,SLvl,MetalSd,None,Normal,356671
8,658,1924,1171,2,2,2,523,14082,Somerst,2Story,Plywood,CarPort,Normal,334817
5,1342,2000,864,1,5,0,286,8629,NridgHt,SFoyer,Wd Sdng,BuiltIn,Normal,330114
3,1508,2010,363,2,3,0,608,23936,BrkSide,SLvl,Wd Sdng,BuiltIn,Normal,239640
7,2254,1907,697,1,4,3,575,4105,Somerst,1.5Fin,VinylSd,BuiltIn,Normal,417387
4,1647,2005,812,1,2,0,306,5839,Somerst,1Story,Plywood,CarPort,Partial,295196
9,1401,1957,721,3,3,0,259,3176,Edwards,2Story,VinylSd,CarPort,Normal,367623
9,1873,1915,1024,2,4,0,318,22074,Gilbert,1Story,VinylSd,BuiltIn,Partial,364938
8,505,1971,863,3,1,2,445,5882,CollgCr,1.5Fin,HdBoard,Detchd,Normal,349626
9,1606,1900,1069,2,4,2,480,3681,OldTown,SFoyer,VinylSd,Attchd,Normal,415197
5,1847,2007,1481,3,3,3,457,6834,NAmes,SFoyer,MetalSd,CarPort,Normal,401931
3,835,1904,837,2,3,0,684,4809,CollgCr,1.5Fin,Wd Sdng,Detchd,Normal,155692
9,2015,1902,447,3,1,2,321,6856,CollgCr,1.5Fin,VinylSd,CarPort,Normal,398197
9,1652,1964,719,1,4,2,254,9169,Sawyer,2Story,BrkFace,BuiltIn,Normal,405900
4,1313,1903,1233,2,4,3,450,12929,Sawyer,SLvl,MetalSd,Detchd,Normal,237686
4,1785,2003,1271,2,1,1,145,8320,CollgCr,1Story,Plywood,None,Normal,270029
6,2522,1998,1162,1,4,0,575,9103,Gilbert,1Story,Wd Sdng,Attchd,Normal,390294
7,1582,1995,1520,3,1,2,468,6928,Somerst,SFoyer,BrkFace,Attchd,Normal,416888
5,1612,1963,925,2,2,3,389,4558,OldTown,SFoyer,BrkFace,CarPort,Normal,317165
9,1293,2005,1821,2,3,3,379,3921,Somerst,2Story,Plywood,Attchd,Abnorml,410302
10,1118,1997,1327,3,2,3,614,7639,Somerst,1.5Fin,BrkFace,None,Normal,407031
9,1874,2006,0,1,5,2,608,9349,Somerst,1Story,MetalSd,Detchd,Normal,398113
3,1115,1988,1720,3,5,0,406,7388,OldTown,2Story,Plywood,Detchd,Normal,244440
6,1532,1909,693,3,5,1,557,3987,OldTown,SFoyer,BrkFace,BuiltIn,Normal,386198
7,1285,1920,586,3,1,0,605,9854,Edwards,SFoyer,Plywood,Detchd,Normal,337797
10,1716,1945,1210,2,4,3,510,18735,NridgHt,1Story,Plywood,CarPort,Abnorml,499167
6,1650,2002,305,1,2,3,413,8547,CollgCr,SFoyer,VinylSd,None,Normal,393825
8,1967,1990,722,1,2,1,519,6934,Crawfor,SFoyer,VinylSd,BuiltIn,Partial,373336
7,1270,1926,1623,3,2,0,263,8758,Edwards,SLvl,VinylSd,CarPort,Normal,294772
9,1379,1965,1222,2,2,3,463,5475,Edwards,1.5Fin,BrkFace,CarPort,Normal,382705
9,1060,1940,1325,3,5,3,408,5319,NAmes,SFoyer,Wd Sdng,CarPort,Normal,441583
7,1300,2011,737,2,2,0,380,11027,Crawfor,SLvl,MetalSd,Attchd,Normal,310893
9,1670,1912,385,2,4,3,139,14053,Sawyer,2Story,BrkFace,CarPort,Normal,356928
5,1841,1908,1283,2,5,0,265,8424,NAmes,SFoyer,VinylSd,Attchd,Normal,304895
7,1085,2015,1372,2,2,3,363,3703,Sawyer,2Story,Plywood,Detchd,Normal,364794
6,1891,1935,1354,1,1,0,611,10551,NridgHt,SFoyer,BrkFace,Attchd,Family,364359
7,2110,1985,1084,2,3,1,501,22818,BrkSide,1Story,Plywood,CarPort,Normal,417223
10,1686,2005,613,2,3,3,619,8064,Sawyer,SLvl,Plywood,None,Normal,426169
9,2345,1989,1975,3,3,1,674,8308,Somerst,SLvl,Plywood,None,Normal,526248
5,1152,1957,1192,3,5,3,509,6077,Sawyer,1Story,HdBoard,Detchd,Normal,290998
5,940,1953,930,1,2,3,475,11177,Crawfor,1.5Fin,,CarPort,Abnorml,281830
8,700,1911,932,3,5,2,275,6654,OldTown,SLvl,MetalSd,Attchd,Partial,336907
6,2173,1980,1060,2,4,0,808,14252,Crawfor,2Story,MetalSd,None,Normal,354611
4,1794,1977,1428,3,1,1,195,6695,NridgHt,SLvl,VinylSd,BuiltIn,Normal,308853
4,1475,1913,1076,1,1,1,471,10496,Edwards,1.5Fin,HdBoard,CarPort,Normal,297243
7,1626,2020,1343,3,3,1,600,8814,Somerst,2Story,BrkFace,CarPort,Normal,359934
8,994,1933,1061,3,3,0,602,18120,BrkSide,2Story,BrkFace,BuiltIn,Normal,307467
3,2601,1952,955,1,3,2,242,10821,NridgHt,1Story,MetalSd,None,Normal,375951
7,1558,2020,1257,1,2,1,374,16800,Edwards,SFoyer,Wd Sdng,BuiltIn,Partial,453738
8,1549,1919,1241,2,4,0,306,9451,Gilbert,1Story,Plywood,Detchd,Partial,386549
6,1827,1974,932,3,4,3,94,8334,Crawfor,SFoyer,VinylSd,Attchd,Normal,397687
6,1716,1915,700,2,4,1,473,8847,NridgHt,1Story,Wd Sdng,Attchd,Normal,344528
6,1601,2014,1137,3,4,1,321,6360,Crawfor,SFoyer,MetalSd,None,Partial,319808
6,1144,1994,1031,3,3,2,721,11433,BrkSide,SLvl,HdBoard,BuiltIn,Normal,330431
6,1712,2018,778,2,1,1,,6597,Edwards,2Story,VinylSd,CarPort,Normal,353088
8,2347,1969,663,3,3,1,457,9467,Crawfor,SFoyer,MetalSd,CarPort,Normal,440735
8,2105,1955,1164,3,4,3,365,13224,OldTown,SLvl,BrkFace,CarPort,Normal,453443
5,2217,1982,1220,3,3,0,471,18354,Sawyer,1.5Fin,VinylSd,Detchd,Family,377764
10,1270,2000,856,1,4,0,404,9684,NAmes,1Story,MetalSd,Detchd,Normal,384309
4,1055,1957,768,2,5,2,463,13260,BrkSide,1.5Fin,BrkFace,CarPort,Normal,259306
9,1443,1903,668,1,1,3,792,12567,NAmes,SLvl,BrkFace,None,Normal,348381
6,1525,2010,1153,2,5,0,258,7577,CollgCr,1.5Fin,Plywood,Detchd,Abnorml,328033
3,1992,1903,678,2,2,3,420,23237,Sawyer,1.5Fin,HdBoard,Detchd,Partial,349559
9,738,1919,1896,3,3,0,577,6944,BrkSide,SLvl,Plywood,Attchd,Normal,360618
8,2188,1909,836,2,2,3,378,9376,NridgHt,2Story,MetalSd,Attchd,Normal,431878
3,1429,1923,30,1,3,2,734,17315,OldTown,SFoyer,Wd Sdng,None,Normal,295339
3,1308,2017,988,1,5,1,572,17124,NridgHt,1Story,Plywood,Detchd,Normal,217301
3,1045,1998,971,1,4,2,321,9058,Gilbert,SFoyer,Wd Sdng,Detchd,Normal,213029
5,755,1925,1445,2,4,0,487,14054,CollgCr,1Story,BrkFace,BuiltIn,Normal,308395
8,1870,1936,1115,1,3,2,323,8137,OldTown,SFoyer,MetalSd,None,Normal,414884
3,1533,2001,666,2,4,1,307,7223,Crawfor,1.5Fin,HdBoard,None,Normal,258045
6,920,1984,885,1,5,2,425,5215,Crawfor,2Story,Wd Sdng,BuiltIn,Normal,260003
7,917,1953,1131,1,4,0,677,12466,Somerst,1.5Fin,MetalSd,BuiltIn,Partial,316279
3,1349,2003,134,2,5,0,584,13071,Crawfor,2Story,Wd Sdng,Attchd,Normal,241671
5,2251,2002,1535,1,2,2,446,6970,Edwards,SLvl,Plywood,None,Normal,368743
9,1383,1920,668,3,5,1,591,10154,CollgCr,1Story,MetalSd,None,Family,362195
8,824,1973,1567,2,1,2,498,29671,Edwards,1Story,Plywood,BuiltIn,Normal,348152
10,1389,1937,1157,2,1,1,239,15078,Sawyer,SLvl,VinylSd,CarPort,Normal,419879
5,1377,1945,1252,2,1,3,424,5999,Somerst,SFoyer,MetalSd,CarPort,Normal,290171
3,500,1903,1460,3,3,1,437,14125,Somerst,SLvl,Wd Sdng,Attchd,Normal,236168
8,1476,1959,1229,2,3,3,587,6011,Crawfor,SLvl,VinylSd,CarPort,Normal,437519
7,1396,1956,1269,1,3,2,348,,OldTown,2Story,Plywood,CarPort,Normal,353404
3,1813,1944,934,1,5,1,286,8918,Sawyer,SLvl,Plywood,CarPort,Partial,275090
5,2332,1919,1149,1,3,3,442,18186,Gilbert,1Story,Wd Sdng,Detchd,Normal,386090
4,2007,1916,765,2,2,3,334,16879,CollgCr,1.5Fin,VinylSd,Attchd,Normal,303059
6,1379,2018,863,1,1,3,392,10665,CollgCr,2Story,BrkFace,BuiltIn,Normal,340610
10,1002,1970,1786,2,5,0,435,7053,BrkSide,2Story,HdBoard,CarPort,Normal,390701
9,2658,1903,677,1,1,2,381,11202,NridgHt,SFoyer,Wd Sdng,Detchd,Normal,527245
5,1527,1992,1062,3,3,3,623,7973,Crawfor,1.5Fin,Plywood,CarPort,Normal,378827
8,1506,1913,1045,3,5,1,705,7143,BrkSide,2Story,MetalSd,Detchd,Normal,398488
10,1489,1902,876,3,4,3,605,14514,Gilbert,SLvl,VinylSd,Attchd,Normal,436782
10,1589,1987,1206,3,2,0,131,7103,Somerst,2Story,BrkFace,CarPort,Normal,389029
10,1435,2000,1236,2,3,2,334,14947,NAmes,2Story,HdBoard,Detchd,Normal,443433
